timeframe,lookback,highest_return,expo_rate,optimal_buy_hold
720_10000d.csv,4,2282.526%,0.81,310.917%
1440_10000d.csv,2,3578.15%,0.64,292.561%
720_10000d.csv,8,3187.485%,0.79,297.07%
1440_10000d.csv,16,1932.008%,0.79,372.133%
720_10000d.csv,2,653.355%,0.02,282.631%
1440_10000d.csv,4,1980.236%,0.68,302.717%
1440_10000d.csv,32,3333.533%,0.79,372.133%
720_10000d.csv,64,3032.438%,0.72,324.783%
1440_10000d.csv,8,1752.656%,0.22,289.225%
720_10000d.csv,16,2441.906%,0.51,278.927%
720_10000d.csv,32,2985.77%,0.73,267.616%
1440_10000d.csv,64,2100.737%,0.79,208.384%
